cnae,industry_name,quarter,observed_exposure_cnae_rf,observed_exposure_cnae_cosine_weighted,observed_exposure_cnae_cosine_nearest,total_weight,covered_weight,coverage_share,occupation_count
53,Actividades postales y de correos,2021,0.08672917141901752,0.1416742039105613,0.13645521596420174,9918.0,9918.0,1.0,42
55,Servicios de alojamiento,2021,0.07772758770652624,0.07446633630569158,0.07671907734594553,22150.0,22150.0,1.0,57
56,Servicios de comidas y bebidas,2021,0.06908350428829495,0.02003732209604007,0.019679121189926613,118238.0,118238.0,1.0,53
58,Edición,2021,0.13931265295340067,0.21690251184835393,0.22341121065166789,4792.0,4792.0,1.0,44
59,"Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical",2021,0.12633494592121583,0.19213909402379753,0.1891879172427821,6916.0,6916.0,1.0,46
60,Actividades de programación y emisión de radio y televisión,2021,0.1283834001640502,0.20363404423878476,0.20852149752221374,2619.0,2619.0,1.0,44
61,Telecomunicaciones,2021,0.12011140600064314,0.18365344538853995,0.18866477737901394,6604.0,6604.0,1.0,44
62,"Programación, consultoría y otras actividades relacionadas con la informática",2021,0.1695683724118573,0.28040731833668714,0.28576269362509943,30996.0,30996.0,1.0,42
63,Servicios de información,2021,0.1356107173536908,0.22065190556113934,0.22664830197084213,2860.0,2860.0,1.0,39
64,"Servicios financieros, excepto seguros y fondos de pensiones",2021,0.14655513017241464,0.2253774435079572,0.2570004160088898,18012.0,18012.0,1.0,40
65,"Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria",2021,0.139744109903792,0.24085965067352544,0.2695804132952044,5750.0,5750.0,1.0,40
66,Actividades auxiliares a los servicios financieros y a los seguros,2021,0.15149541575972184,0.21993832511413622,0.23882345136810101,10105.0,10105.0,1.0,38
68,Actividades inmobiliarias,2021,0.13754674505128114,0.22501184952194425,0.2522524077870375,12850.0,12850.0,1.0,42
69,Actividades jurídicas y de contabilidad,2021,0.14284507816194003,0.23968200836112316,0.2489352548420099,31682.0,31682.0,1.0,40
70,Actividades de las sedes centrales; actividades de consultoría de gestión empresarial,2021,0.15125144457290685,0.24536624320782158,0.26487852398908157,9686.0,9686.0,1.0,39
71,Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos,2021,0.09714508952153805,0.10418998194943213,0.10602665721480249,25153.0,25153.0,1.0,45
72,Investigación y desarrollo,2021,0.1187856444600765,0.12592544456980792,0.1397853750456836,8022.0,8022.0,1.0,47
73,Publicidad y estudios de mercado,2021,0.14055456396871496,0.209737914785137,0.21773318905199132,12159.0,12159.0,1.0,40
74,"Otras actividades profesionales, científicas y técnicas",2021,0.11291768467190003,0.14924628684124472,0.15639478734169238,11971.0,11971.0,1.0,48
75,Actividades veterinarias,2021,0.09234574584594867,0.0626105952619303,0.05987771032361304,2431.0,2431.0,1.0,32
77,Actividades de alquiler,2021,0.10588848087034322,0.17024819877530722,0.18231377785433167,7478.0,7478.0,1.0,46
78,Actividades relacionadas con el empleo,2021,0.10088773301245507,0.1563280941932367,0.1713802192360558,4396.0,4396.0,1.0,41
79,"Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos",2021,0.117446373201705,0.21664683685201633,0.22516873016462305,5247.0,5247.0,1.0,37
80,Actividades de seguridad e investigación,2021,0.06067781168499468,0.059442028889467154,0.062441332139495834,12355.0,12355.0,1.0,43
81,Servicios a edificios y actividades de jardinería,2021,0.0495892560235257,0.027107216424923697,0.03022551939208472,54607.0,54607.0,1.0,55
82,Actividades administrativas de oficina y otras actividades auxiliares a las empresas,2021,0.10424994401293115,0.16240283412675752,0.16254425261642474,30385.0,30385.0,1.0,49
84,Administración Pública y defensa; Seguridad Social obligatoria,2021,0.09993398266674325,0.13886769344473993,0.15021826764130622,129307.0,129307.0,1.0,56
85,Educación,2021,0.11330010076621551,0.10916519053953785,0.11556418854500176,129049.0,129049.0,1.0,58
86,Actividades sanitarias,2021,0.08977499972880201,0.06753442117502166,0.06752270449683986,98172.0,98172.0,1.0,54
87,Asistencia en establecimientos residenciales,2021,0.07586320921682231,0.046072726425404754,0.05430454205524716,30790.0,30790.0,1.0,52
88,Actividades de servicios sociales sin alojamiento,2021,0.07836235924294244,0.0711269128100199,0.07877391843508638,25577.0,25577.0,1.0,52
90,"Actividades de creación, artísticas y espectáculos",2021,0.12028169058214926,0.17059913262473478,0.16029930954206936,8468.0,8468.0,1.0,43
91,"Actividades de bibliotecas, archivos, museos y otras actividades culturales",2021,0.10396189123312506,0.15085326215147357,0.15431091763664812,1699.0,1699.0,1.0,46
92,Actividades de juegos de azar y apuestas,2021,0.10117626114674429,0.1641396765884346,0.15741139260067158,3311.0,3311.0,1.0,48
93,"Actividades deportivas, recreativas y de entretenimiento",2021,0.09074616493659377,0.08638274198041816,0.08278063909776892,22143.0,22143.0,1.0,56
94,Actividades asociativas,2021,0.11453664751604373,0.14796501166884685,0.16678495795957357,12921.0,12921.0,1.0,50
95,"Reparación de ordenadores, efectos personales y artículos de uso doméstico",2021,0.06626577171330936,0.07240072425342771,0.07931452435328651,5795.0,5795.0,1.0,45
96,Otros servicios personales,2021,0.0678711126500445,0.10746794379651452,0.12856120933700194,30513.0,30513.0,1.0,56
97,Actividades de los hogares como empleadores de personal doméstico,2021,0.033705447399417984,0.0082384669037628,0.00968605749989914,38345.0,38345.0,1.0,45
98,Actividades de los hogares como productores de bienes y servicios para uso propio,2021,0.10888202328510116,0.13251484334463043,0.11869377289377289,2.0,2.0,1.0,2
99,Actividades de organizaciones y organismos extraterritoriales,2021,0.11748901802787726,0.14378599164460315,0.14857901485889785,138.0,138.0,1.0,31
