measure,coefficient,std_error,p_value,r2,nobs,depvar_mean
RF,3.4114200609248035,0.42522696071770066,7.418279489738902e-15,0.11332853118290953,502,-0.6918191662671874
Cosine weighted,0.9116115749573467,0.2030357177406745,8.854906401719038e-06,0.04420432709848976,502,-0.6918191662671874
Cosine nearest,0.746676577719805,0.1810693253819335,4.3654131254426326e-05,0.03324684989760496,502,-0.6918191662671874
