ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,5.2480011,4.6873503,.58380795,391130,187656,12.876795,12.142365
2021m1,middle,5.3606753,4.5320745,.889566,174136,102494,12.067592,11.53756
2021m1,high,5.4810104,4.503612,1.1278089,253530,49603,12.443237,10.811807
2021m2,zero,5.2480874,4.7371349,.59854424,395539,169916,12.888004,12.043059
2021m2,middle,5.3685465,4.5259395,.94909096,175202,101426,12.073695,11.527084
2021m2,high,5.4374423,4.4080539,1.1861197,256262,47937,12.453956,10.777643
2021m3,zero,5.208035,4.8984976,.37448418,386601,201998,12.865149,12.216013
2021m3,middle,5.3458405,4.5705342,.73814744,170871,106151,12.048664,11.572618
2021m3,high,5.4011416,4.5684695,.98436683,250546,58023,12.431397,10.968595
2021m4,zero,5.2152643,4.74896,.46367601,379846,195037,12.847521,12.180944
2021m4,middle,5.3244615,4.5561485,.79358345,167901,99009,12.03113,11.502966
2021m4,high,5.3564572,4.5785995,.95873803,245743,56119,12.412042,10.935229
2021m5,zero,5.1551113,4.8515587,.3353183,363599,218765,12.803807,12.295753
2021m5,middle,5.2824011,4.6423163,.73140293,160673,112644,11.987126,11.631988
2021m5,high,5.3286228,4.5071173,.98179775,237765,57638,12.379038,10.961937
2021m6,zero,5.1147165,4.8979292,.21881387,338700,245346,12.73287,12.410425
2021m6,middle,5.2154326,4.7037196,.55666751,153641,115237,11.942374,11.654746
2021m6,high,5.3270993,4.6871901,.74517697,224106,65831,12.319875,11.094846
2021m7,zero,5.0204663,4.8536615,.16411522,312043,256707,12.650896,12.45569
2021m7,middle,5.1944528,4.6865177,.54933369,147990,103835,11.9049,11.550558
2021m7,high,5.3273997,4.5446544,.78503275,211752,62991,12.263171,11.050747
2021m8,zero,5.0042915,4.5923128,.41362649,302751,207911,12.620666,12.244865
2021m8,middle,5.1736345,4.4787831,.81023693,144878,83852,11.883647,11.336808
2021m8,high,5.2606578,4.2685223,1.0837562,207133,45676,12.241117,10.729328
2021m9,zero,4.9375525,4.9372644,.016979039,291404,262865,12.582466,12.479396
2021m9,middle,5.0308256,4.8910837,.2003931,126755,124404,11.750011,11.73129
2021m9,high,5.2182255,4.6427283,.54867536,196038,67091,12.186064,11.113805
2021m10,zero,4.9436703,4.9143624,.050889336,292956,262318,12.587778,12.477313
2021m10,middle,5.1048002,4.8458233,.29975846,133083,130341,11.798728,11.777909
2021m10,high,5.1702747,4.6668143,.57746238,196294,70080,12.187368,11.157393
2021m11,zero,4.9031806,5.0651321,-.095693156,285112,280762,12.560637,12.545262
2021m11,middle,5.0569367,4.9131064,.21050793,128975,142196,11.767374,11.864962
2021m11,high,5.1374335,4.6596594,.50267142,188897,73406,12.148957,11.203761
2021m12,zero,4.872303,4.7275615,.20623128,279604,225329,12.54113,12.325316
2021m12,middle,4.9918857,4.6740975,.40363431,126543,122863,11.748338,11.718825
2021m12,high,5.1074815,4.469492,.69005448,182224,57904,12.112992,10.966541
2022m1,zero,4.8932586,4.8854384,.071972899,281660,217188,12.548456,12.288519
2022m1,middle,4.950325,4.7071857,.30643556,127205,117526,11.753555,11.674415
2022m1,high,5.1316991,4.5584168,.60741162,185316,60803,12.129818,11.015394
2022m2,zero,4.8716526,4.8123732,.10620794,279667,196045,12.541355,12.186099
2022m2,middle,4.8911133,4.8269119,.30161849,126416,104308,11.747334,11.555103
2022m2,high,5.067771,4.5381355,.55200762,183744,59041,12.121299,10.985988
2022m3,zero,4.8594418,4.9583488,-.090833232,279956,226167,12.542388,12.329029
2022m3,middle,4.9117427,4.9067211,.070166916,125663,116712,11.741359,11.667464
2022m3,high,5.0354285,4.7643752,.29252777,181469,72185,12.10884,11.186988
2022m4,zero,4.8235836,4.7518721,.083895102,268953,203891,12.502292,12.225341
2022m4,middle,4.9403195,4.7004457,.31248951,120172,95192,11.696679,11.463652
2022m4,high,5.0094333,4.6225562,.50056064,175109,60696,12.073164,11.013633
2022m5,zero,4.7559924,4.859828,-.056399453,258287,225642,12.461826,12.326705
2022m5,middle,4.8853531,4.7652898,.17900287,115244,108665,11.654807,11.596025
2022m5,high,4.971004,4.7247686,.34980318,168636,64796,12.035498,11.079
2022m6,zero,4.7372608,4.8628745,-.12878712,250176,230218,12.42992,12.346782
2022m6,middle,4.8503304,4.7315512,.13111581,116267,102399,11.663645,11.536633
2022m6,high,4.9369941,4.7418733,.34018841,164819,65887,12.012603,11.095696
2022m7,zero,4.7476044,4.7804246,-.037919261,251005,215624,12.433228,12.281291
2022m7,middle,4.8956652,4.7356558,.18545127,121815,86585,11.710258,11.368882
2022m7,high,4.9820604,4.6416116,.43665695,168120,59570,12.032434,10.994907
