sample,subgroup,outcome,estimator,vce,event_time,estimate,se,ci_low,ci_high,p_value,row
total_cno4,all,ln_parados,sdid,placebo,32,.1198814341053968,.0228076557771651,.0751784287821532,.1645844394286404,122,34
total_cno4,all,ln_parados,sdid,placebo,33,.133020103780828,.0243146644146762,.0853633615280626,.1806768460335934,122,35
total_cno4,all,ln_parados,sdid,placebo,34,.1352446655196416,.0257636460344842,.0847479192920526,.1857414117472307,122,36
total_cno4,all,ln_parados,sdid,placebo,35,.1417331628621129,.0277558611519332,.0873316750043239,.1961346507199019,122,37
total_cno4,all,ln_parados,sdid,placebo,36,.1370705661079027,.0307275543385628,.0768445596043197,.1972965726114857,122,38
total_cno4,all,ln_parados,sdid,placebo,37,.1401264335932669,.0305795739237577,.0801904687027018,.2000623984838321,122,39
total_cno4,all,ln_parados,sdid,placebo,38,.1232153170157891,.02865903341352,.06704361152529,.1793870225062882,122,40
total_cno4,all,ln_parados,sdid,placebo,39,.134270958150552,.0307575350808238,.0739861893921374,.1945557269089666,122,41
total_cno4,all,ln_parados,sdid,placebo,40,.1439816640404933,.0301626704105369,.084862830035841,.2031004980451455,122,42
total_cno4,all,ln_parados,sdid,placebo,41,.1606400373191658,.0297857193421416,.1022600274085681,.2190200472297634,122,43
