ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,4.8494663,4.1197066,.83549511,228634,97950,12.339878,11.492212
2021m1,middle,4.8813105,3.9118283,1.2376029,94202,56256,11.453197,10.937668
2021m1,high,4.9980125,3.5542855,1.4840294,143794,20675,11.876137,9.9366808
2021m2,zero,4.8803692,4.0063553,.95205241,230938,87893,12.349905,11.383876
2021m2,middle,4.8812799,3.774323,1.2561756,94652,55965,11.457962,10.932482
2021m2,high,4.9971471,3.5633223,1.5691065,144726,20388,11.882598,9.9227018
2021m3,zero,4.8703551,4.1898742,.73556381,226477,103585,12.330399,11.548148
2021m3,middle,4.8575563,4.0407677,1.0746853,92836,58149,11.43859,10.970764
2021m3,high,5.0108981,3.7673874,1.3497111,142060,24555,11.864005,10.108671
2021m4,zero,4.8323369,4.1136608,.77202934,223263,99291,12.316106,11.50581
2021m4,middle,4.8269448,3.8841553,1.1301219,91535,53600,11.424477,10.889304
2021m4,high,5.0312271,3.680038,1.4324808,140212,23232,11.850911,10.053286
2021m5,zero,4.7983088,4.1379962,.73040742,215361,109206,12.280071,11.600991
2021m5,middle,4.7841797,3.8290291,1.0920562,88048,62464,11.385637,11.042346
2021m5,high,4.9626374,3.6764781,1.3904207,136661,23822,11.825258,10.078364
2021m6,zero,4.7502222,4.2446737,.57012606,202932,122083,12.220626,11.712457
2021m6,middle,4.7391205,4.0319195,.93501407,85005,62131,11.350466,11.037001
2021m6,high,4.9690557,3.7704198,1.2271664,130927,26495,11.782395,10.184711
2021m7,zero,4.6889181,4.172523,.54315132,189077,127365,12.14991,11.754812
2021m7,middle,4.7290435,3.9106085,.95891935,81677,54747,11.310528,10.910478
2021m7,high,4.9379587,3.6966619,1.2516412,125187,25600,11.737564,10.150348
2021m8,zero,4.6323957,3.9953091,.73590016,183264,106044,12.118683,11.571609
2021m8,middle,4.7438154,3.7215886,1.2442608,79182,44575,11.279504,10.704928
2021m8,high,4.9629421,3.4369421,1.5341316,123014,18768,11.720054,9.8399086
2021m9,zero,4.6051645,4.263731,.3769497,176498,134643,12.081065,11.810382
2021m9,middle,4.6476135,4.1642156,.64245498,70082,65460,11.157421,11.089194
2021m9,high,4.8753643,3.9177022,.96160817,117034,28311,11.670219,10.251006
2021m10,zero,4.6051669,4.2432251,.38468161,177137,133589,12.084679,11.802524
2021m10,middle,4.6443167,4.1607108,.6842168,73969,70311,11.211401,11.160684
2021m10,high,4.8673472,3.900701,.95461869,116963,29630,11.669613,10.296542
2021m11,zero,4.5471907,4.3396583,.22502327,172911,144536,12.060533,11.881284
2021m11,middle,4.6178017,4.1762385,.55957681,72393,76995,11.189865,11.251495
2021m11,high,4.8664999,3.8101511,.95685792,113152,30968,11.636487,10.34071
2021m12,zero,4.5399566,4.0312376,.57604796,170634,114534,12.047276,11.648627
2021m12,middle,4.6351409,3.947366,.82149136,71203,66277,11.17329,11.101598
2021m12,high,4.7275858,3.7788236,1.0422521,109773,24322,11.60617,10.099136
2022m1,zero,4.4872503,4.2086339,.38641936,170131,112028,12.044324,11.626504
2022m1,middle,4.6819134,4.1052527,.69810492,71100,64184,11.171843,11.06951
2022m1,high,4.7698259,3.8127875,1.0150267,110326,25027,11.611195,10.12771
2022m2,zero,4.5151997,4.1004567,.44195023,168278,99784,12.033373,11.510763
2022m2,middle,4.6286716,4.0662384,.67383546,70461,56285,11.162815,10.938184
2022m2,high,4.7422895,3.8907673,.94661713,109155,25249,11.600524,10.136541
2022m3,zero,4.5121331,4.3075304,.25537243,168687,115451,12.0358,11.656602
2022m3,middle,4.5663013,4.1831288,.48145342,69895,62253,11.15475,11.038962
2022m3,high,4.7183223,4.0220037,.75231892,107478,30365,11.585041,10.321046
2022m4,zero,4.4653778,4.1521964,.42220747,162497,102541,11.998415,11.538018
2022m4,middle,4.5685239,3.9744096,.73498929,67116,49880,11.114178,10.817375
2022m4,high,4.7184758,3.7438154,.97466058,104014,24555,11.55228,10.108671
2022m5,zero,4.4284444,4.1677513,.34748557,155919,112950,11.957092,11.634701
2022m5,middle,4.5143991,3.9690912,.63000405,64662,57411,11.076929,10.957992
2022m5,high,4.6461759,3.7801189,.85329133,100765,26426,11.520546,10.182104
2022m6,zero,4.4288182,4.169661,.28498915,151848,113887,11.930635,11.642962
2022m6,middle,4.4777327,4.0627999,.54559886,65147,53727,11.084401,10.891671
2022m6,high,4.6733532,3.8362725,.84269547,98484,26487,11.497649,10.184409
2022m7,zero,4.4227448,4.1133862,.34883586,150734,106324,11.923272,11.574246
2022m7,middle,4.5142469,3.9324956,.62363875,66777,44056,11.109114,10.693217
2022m7,high,4.7120767,3.7901878,.91968185,99911,23828,11.512035,10.078617
2022m8,zero,4.4148021,3.9829354,.57659459,152085,90874,11.932195,11.41723
2022m8,middle,4.5818086,3.8433518,.95748568,67444,37586,11.119053,10.534387
2022m8,high,4.6799397,3.4937975,1.2325273,100725,18546,11.520149,9.8280096
2022m9,zero,4.4073772,4.1175752,.37053734,152956,106766,11.937905,11.578395
2022m9,middle,4.4501548,4.1336122,.49396747,65895,56813,11.095818,10.94752
2022m9,high,4.6238017,3.7971256,.84634739,98310,26253,11.495881,10.175535
2022m10,zero,4.3925972,4.0852914,.40085146,152321,99030,11.933745,11.503178
2022m10,middle,4.4917769,4.0652843,.5638178,63442,52214,11.057881,10.863106
2022m10,high,4.6304026,3.8391235,.84481233,98473,25765,11.497538,10.156773
2022m11,zero,4.3972507,3.953582,.48276874,150540,92491,11.921984,11.434867
2022m11,middle,4.4806333,3.9056845,.70569688,62687,50862,11.045909,10.836871
2022m11,high,4.6215787,3.7100587,.9640193,96675,23946,11.47911,10.083556
2022m12,zero,4.4005823,3.7263987,.78166473,149708,75276,11.916442,11.228916
2022m12,middle,4.469276,3.7169752,.91103441,61800,43771,11.031658,10.686727
2022m12,high,4.6216178,3.4043097,1.2557774,95207,18408,11.463809,9.8205404
2023m1,zero,4.4074731,3.899087,.58031625,153246,78988,11.939799,11.277051
2023m1,middle,4.4536924,3.911725,.73317587,62877,45755,11.048936,10.731056
2023m1,high,4.6393709,3.6850872,1.0159998,97634,20078,11.488981,9.9073801
2023m2,zero,4.3778214,3.8877261,.56864715,152047,71293,11.931945,11.174554
2023m2,middle,4.435782,3.9396675,.74323291,62138,38883,11.037113,10.568313
2023m2,high,4.5625844,3.6494913,1.0508462,96840,19851,11.480816,9.8960094
2023m3,zero,4.3380337,4.0495086,.40442535,148567,87520,11.908792,11.379622
2023m3,middle,4.3863239,3.9555693,.57721984,60293,45431,11.006971,10.72395
2023m3,high,4.5552363,3.79532,.8426497,94234,23135,11.453536,10.049102
2023m4,zero,4.3223386,3.87902,.55301642,144455,75390,11.880723,11.23043
2023m4,middle,4.4018722,3.8824453,.73678339,58566,39676,10.97791,10.588502
2023m4,high,4.5286231,3.4753468,1.1259784,91670,19126,11.42595,9.8588037
2023m5,zero,4.2820206,3.9861856,.40639818,140405,89857,11.852286,11.405974
2023m5,middle,4.3315949,3.8856282,.58248556,57162,49592,10.953645,10.811584
2023m5,high,4.5727034,3.7451925,.9015879,89596,21935,11.403066,9.9958391
2023m6,zero,4.271637,3.9765239,.4001109,136282,88137,11.822481,11.386647
2023m6,middle,4.331111,3.9425776,.64217013,56501,42939,10.942014,10.667536
2023m6,high,4.5670419,3.6177473,.96816474,87838,21705,11.383249,9.9852982
2023m7,zero,4.2647781,3.9373882,.47446948,134269,83784,11.807601,11.335998
2023m7,middle,4.3560009,3.7526858,.77159882,57322,36805,10.95644,10.513389
2023m7,high,4.5921221,3.5351925,1.0951976,88003,19426,11.385126,9.8743677
2023m8,zero,4.2405457,3.6423707,.687181,134721,71487,11.810962,11.177271
2023m8,middle,4.423769,3.5970998,1.0266507,57928,31654,10.966956,10.362619
2023m8,high,4.4913816,3.1725073,1.503148,89142,14739,11.397985,9.5982523
2023m9,zero,4.21773,3.9470191,.39111316,135346,85685,11.81559,11.358433
2023m9,middle,4.3459768,3.8645461,.6178546,56595,43921,10.943676,10.690147
2023m9,high,4.4928703,3.6006737,1.0012268,87312,21106,11.377243,9.9573126
2023m10,zero,4.2759676,3.8721266,.45016122,137690,87257,11.83276,11.376613
2023m10,middle,4.2914696,3.8032424,.68537879,56768,45023,10.946728,10.714929
2023m10,high,4.5126185,3.7082777,.93173665,88856,22802,11.394773,10.034603
2023m11,zero,4.2433825,3.8796551,.50563037,136933,82910,11.827247,11.325511
2023m11,middle,4.3188968,3.8865545,.69274849,56172,46021,10.936173,10.736853
2023m11,high,4.4954548,3.6354442,.99862206,87222,22573,11.376212,10.024509
2023m12,zero,4.2442489,3.6542263,.77659822,136751,67344,11.825917,11.117569
2023m12,middle,4.3095059,3.6217163,.92429775,55768,38493,10.928955,10.558231
2023m12,high,4.4953079,3.4143469,1.2567267,86431,16439,11.367102,9.7074118
2024m1,zero,4.2875519,3.860868,.51197559,139925,75596,11.848862,11.233159
2024m1,middle,4.2883053,3.8722818,.66606551,57141,38856,10.953278,10.567617
2024m1,high,4.5134802,3.5420604,1.0829026,88467,19580,11.390385,9.8822641
2024m2,zero,4.2851853,3.8390384,.56474245,139011,71626,11.842308,11.179214
2024m2,middle,4.3044295,3.8026104,.65697122,56458,39043,10.941253,10.572419
2024m2,high,4.4755187,3.6858103,1.015306,87207,19482,11.37604,9.8772459
2024m3,zero,4.2605305,3.7696586,.58054328,136671,69825,11.825332,11.153748
2024m3,middle,4.3236971,3.7196417,.78018296,55578,36364,10.925543,10.501334
2024m3,high,4.4570251,3.5586991,1.0936792,85582,18559,11.35723,9.8287106
2024m4,zero,4.2409105,3.8535757,.44661966,133382,79038,11.800973,11.277684
2024m4,middle,4.2817788,3.8523376,.65404743,54177,40800,10.900012,10.616437
2024m4,high,4.4497418,3.6257253,.98427421,84140,20108,11.340238,9.9088726
2024m6,zero,4.1595869,3.7855551,.48152727,126412,77403,11.747302,11.256781
2024m6,middle,4.3100195,3.6767042,.75913167,52357,36216,10.865841,10.497256
2024m6,high,4.3871603,3.4906738,1.0865189,80898,18458,11.300944,9.8232536
2024m7,zero,4.1621161,3.8095191,.43847448,124504,84823,11.732093,11.348322
2024m7,middle,4.3295755,3.6264181,.73153764,53039,35571,10.878783,10.479286
2024m7,high,4.4633722,3.5094595,.99628353,81112,19683,11.303586,9.8875103
2024m8,zero,4.1889439,3.595176,.75996858,125292,64606,11.738402,11.076062
2024m8,middle,4.3196301,3.5729315,1.0520635,53654,27732,10.890311,10.230342
2024m8,high,4.4623594,3.1919699,1.4041808,82426,13535,11.319656,9.5130339
2024m9,zero,4.1717372,3.8963423,.37029487,124828,83604,11.734692,11.333847
2024m9,middle,4.1941233,3.8392448,.54205817,52271,42052,10.864197,10.646662
2024m9,high,4.4708858,3.5986412,.97902346,81053,21245,11.302858,9.9638767
2024m10,zero,4.1580243,3.9999826,.29220259,126165,91088,11.745346,11.419581
2024m10,middle,4.2404146,3.8711686,.58202738,52189,46188,10.862627,10.740476
2024m10,high,4.4350114,3.7039137,.91761535,81097,22804,11.303401,10.034691
2024m11,zero,4.169076,3.7868569,.48896879,125482,76508,11.739918,11.245151
