ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2021m1,zero,3.9095979,4.0129585,-.037165504,173145,116273,12.061885,11.663696
2021m1,middle,3.9079311,3.9081724,.21165743,70078,56324,11.157364,10.938876
2021m1,high,4.2256484,3.7487602,.56969422,97579,35180,11.488418,10.468233
2021m2,zero,3.8782887,3.9663162,-.028615087,177526,102427,12.086872,11.536905
2021m2,middle,3.9473903,3.8542278,.19282977,71572,54797,11.178459,10.91139
2021m2,high,4.2264514,3.6946828,.64310437,100473,30779,11.517644,10.334588
2021m3,zero,3.8808954,4.0842071,-.20228639,173146,128257,12.061891,11.761791
2021m3,middle,3.8787112,3.990283,-.0068135271,69694,57788,11.15187,10.964537
2021m3,high,4.1826634,3.8680005,.47405741,98054,39083,11.493274,10.573442
2021m4,zero,3.8990102,4.1607947,-.23698671,171574,133541,12.05277,11.802164
2021m4,middle,3.8024035,3.861403,.07215701,69160,58482,11.144178,10.976475
2021m4,high,4.1212406,3.8466949,.40265813,97734,40275,11.490005,10.603486
2021m5,zero,3.7769508,4.1736503,-.41301185,156279,166242,11.959398,12.0212
2021m5,middle,3.600039,3.9836187,-.29701144,62707,75722,11.046228,11.234824
2021m5,high,3.9772711,3.8799424,.15322883,86059,45866,11.362788,10.733479
2021m6,zero,3.7236083,4.434237,-.78230369,141708,249156,11.861524,12.425835
2021m6,middle,3.705328,4.2883377,-.63517463,58959,88557,10.984597,11.391401
2021m6,high,3.9645486,4.2063293,-.28604618,80702,72551,11.298518,11.192045
2021m7,zero,3.5823016,4.6175551,-1.0700332,121752,286260,11.709742,12.564655
2021m7,middle,3.6645117,4.4257998,-.81954962,52895,84481,10.876064,11.344282
2021m7,high,3.9177563,4.1094909,-.36640567,71513,73146,11.177634,11.200212
2021m8,zero,3.5209744,4.2268496,-.67577469,113740,192558,11.64167,12.168153
2021m8,middle,3.6703751,4.1575551,-.42947823,49506,60664,10.809849,11.013105
2021m8,high,3.8757267,3.7943325,.16907366,67647,45605,11.122058,10.727773
2021m9,zero,3.5673778,4.4996276,-.91956335,117026,225673,11.670152,12.326842
2021m9,middle,3.7287164,4.3454103,-.75988126,46885,84654,10.755453,11.346328
2021m9,high,3.9442604,4.3025174,-.42563024,69350,61997,11.146921,11.034842
2021m10,zero,3.6198437,4.3428164,-.74814063,120672,228916,11.700831,12.34111
2021m10,middle,3.6325107,4.3290753,-.69831449,50538,87484,10.830481,11.379211
2021m10,high,3.9837744,4.3045239,-.26174062,71053,61364,11.171182,11.024579
2021m11,zero,3.5661805,4.3823986,-.81438828,115915,228011,11.660612,12.33715
2021m11,middle,3.6355898,4.2969275,-.66799361,48359,93233,10.786407,11.442857
2021m11,high,3.8732288,4.1434541,-.23160687,67340,64975,11.11751,11.081758
2021m12,zero,3.5208321,4.2059107,-.64948529,105851,195808,11.569788,12.18489
2021m12,middle,3.5773506,4.1024446,-.54452157,44693,84848,10.707572,11.348617
2021m12,high,3.8092599,3.9800351,-.20970929,60053,57016,11.002983,10.951087
2022m1,zero,3.4836757,4.1782246,-.67891783,104936,166573,11.561106,12.023189
2022m1,middle,3.5803919,4.3105145,-.66246742,44595,75170,10.705377,11.227508
2022m1,high,3.7834737,3.9507008,-.15445133,58841,50691,10.982594,10.833504
