ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2022m11,zero,3.7899842,4.1497221,-.36952829,103336,112359,11.545741,11.629455
2022m11,middle,4.1759109,4.3946557,-.30705351,48650,57212,10.792407,10.954519
2022m11,high,4.328577,4.2567048,.078661785,71488,49429,11.177285,10.808292
2022m12,zero,3.7507312,3.9367709,-.1790214,99076,92252,11.503642,11.43228
2022m12,middle,4.0170665,4.1081462,-.031912081,46832,48063,10.754322,10.780268
2022m12,high,4.2590251,3.9956989,.29964313,68331,37923,11.132119,10.543313
2023m1,zero,3.7913473,4.1455336,-.32887742,105605,91348,11.567461,11.422432
2023m1,middle,3.9833293,4.3680692,-.21995609,48927,48539,10.798084,10.790123
2023m1,high,4.3406262,4.1558113,.20867172,73128,38940,11.199966,10.569777
2023m2,zero,3.826968,4.0558972,-.18634896,106212,84332,11.573193,11.342517
2023m2,middle,4.0959139,4.1871357,-.11373475,48679,43120,10.793003,10.671742
2023m2,high,4.3019781,4.1463022,.15587614,73468,36490,11.204605,10.504793
2023m3,zero,3.8145299,4.2212539,-.42004389,102706,105564,11.539626,11.567073
2023m3,middle,4.1034794,4.3189092,-.30862331,46933,51483,10.756476,10.849007
2023m3,high,4.2761641,4.343277,.01933128,71389,42995,11.1759,10.668839
2023m4,zero,3.7380843,4.0279112,-.29493725,98606,94075,11.498887,11.451848
2023m4,middle,4.022294,4.2140288,-.21184939,44770,44942,10.709293,10.713128
2023m4,high,4.2324657,4.232142,.11447992,68388,36591,11.132953,10.507558
2023m5,zero,3.7416198,4.1768684,-.50003737,95288,113879,11.464659,11.642892
2023m5,middle,3.9072046,4.3705482,-.48145822,43596,56376,10.682721,10.939798
2023m5,high,4.1509781,4.2089324,-.013890683,66392,42887,11.103332,10.666324
2023m6,zero,3.7167335,4.1776528,-.54331821,90468,120042,11.412751,11.695597
2023m6,middle,3.897161,4.340353,-.50219941,42622,51475,10.660126,10.848851
2023m6,high,4.1105609,4.2741799,-.11525872,63634,45526,11.060904,10.726039
2023m7,zero,3.6502862,4.178051,-.51911873,87720,116065,11.381906,11.661905
2023m7,middle,3.938076,4.3173022,-.3112759,44202,45010,10.696526,10.71464
2023m7,high,4.1110945,4.202498,.0569942,64368,42415,11.072371,10.655257
2023m8,zero,3.6621711,3.948524,-.28056365,89314,89422,11.399914,11.401122
2023m8,middle,3.9640269,4.1351347,-.04994639,45981,35649,10.735984,10.481477
2023m8,high,4.2089272,3.9328463,.48531279,66517,30361,11.105213,10.320914
2023m9,zero,3.7466335,4.1729794,-.43660128,92087,109012,11.430489,11.599214
2023m9,middle,3.9387226,4.3776011,-.39006633,44655,54282,10.706721,10.901948
2023m9,high,4.2357688,4.1796513,.064908139,65582,42328,11.091057,10.653204
2023m10,zero,3.7375669,4.1523466,-.41535759,95749,111633,11.469485,11.622972
2023m10,middle,4.0225167,4.390409,-.30693436,45038,52631,10.715261,10.87106
2023m10,high,4.273654,4.2899075,.073260143,67953,46234,11.126572,10.74147
2023m11,zero,3.7055328,4.1092834,-.39601868,94735,102587,11.458838,11.538466
2023m11,middle,4.0899014,4.2079568,-.19438066,44036,52735,10.692762,10.873034
2023m11,high,4.2978621,4.2098236,.17339481,66703,46812,11.108006,10.753895
2023m12,zero,3.7001202,3.8567262,-.11860697,91880,84692,11.428239,11.346776
2023m12,middle,4.0836878,3.9138885,.055646952,43111,43781,10.671534,10.686955
2023m12,high,4.3283381,3.8742547,.46016777,64793,34302,11.078953,10.442959
2024m1,zero,3.7694736,4.0602479,-.32415357,97983,93349,11.492549,11.4441
2024m1,middle,4.0816326,4.2652512,-.17842738,44986,46099,10.714107,10.738546
2024m1,high,4.3805385,4.2340007,.15029266,68912,39463,11.140586,10.583118
2024m2,zero,3.7570064,4.0473261,-.28915137,98190,88751,11.494659,11.39359
2024m2,middle,4.1070938,4.245337,-.16804902,44344,45036,10.699733,10.715218
2024m2,high,4.3523903,4.2325764,.26734757,68867,37749,11.139933,10.538714
2024m3,zero,3.7039456,4.0364094,-.28949225,95496,90841,11.46684,11.416866
2024m3,middle,4.0435133,4.1996512,-.12946974,43118,42313,10.671696,10.652849
2024m3,high,4.3558798,4.0534916,.24888849,67032,36941,11.112926,10.517077
2024m4,zero,3.6574812,4.1261792,-.43634331,92268,102669,11.432452,11.539266
2024m4,middle,4.0087957,4.1459522,-.17724499,41214,48920,10.626534,10.797941
2024m4,high,4.2101727,4.2099347,.074339993,64602,40400,11.076,10.606586
2024m6,zero,3.5907514,4.0984111,-.52908581,83672,108171,11.33466,11.591469
2024m6,middle,3.8460007,4.2427921,-.36164588,39121,46206,10.574414,10.740865
2024m6,high,4.2482424,4.0757461,.11907078,60249,41878,11.006241,10.642516
2024m7,zero,3.6032033,4.0994387,-.56707156,81243,121749,11.3052,11.709717
2024m7,middle,3.826462,4.329752,-.40408221,40782,46375,10.615996,10.744515
2024m7,high,4.2116842,4.0894589,.090449348,60971,44172,11.018153,10.695847
2024m8,zero,3.6321054,3.7840519,-.1600807,83127,85603,11.328125,11.357475
2024m8,middle,3.7917426,3.9941993,.0069356817,42264,34271,10.65169,10.442055
2024m8,high,4.223062,3.8710997,.55471796,62570,29338,11.044042,10.286639
2024m9,zero,3.6566949,4.1656418,-.51085067,84617,112266,11.34589,11.628626
2024m9,middle,3.917644,4.4239988,-.46102312,40850,55636,10.617662,10.926586
2024m9,high,4.1880636,4.3435068,.039863076,63037,45459,11.051477,10.724566
2024m10,zero,3.6619403,4.2015495,-.53292352,88310,123600,11.388609,11.724806
2024m10,middle,4.0058198,4.4070272,-.45602325,40856,59021,10.617809,10.985648
2024m10,high,4.2736325,4.3822503,.05622511,64228,48389,11.070194,10.787027
2024m11,zero,3.6686349,4.0411568,-.37886366,87375,99987,11.377964,11.512795
2024m11,middle,3.976928,4.1759386,-.2481124,40389,54011,10.606313,10.896943
2024m11,high,4.2960048,4.1381288,.20853125,63221,42150,11.054392,10.64899
2024m12,zero,3.67101,3.811588,-.097133331,85366,90403,11.354703,11.412033
2024m12,middle,3.971838,3.9494939,.036370758,39615,48476,10.586963,10.788824
2024m12,high,4.2130075,3.8749244,.45540789,61741,35842,11.030704,10.486876
2025m1,zero,3.7024438,4.0483141,-.35209447,89520,95250,11.402217,11.46426
2025m1,middle,3.9866834,4.2261939,-.18712984,40984,50836,10.620937,10.83636
2025m1,high,4.2761698,4.1260653,.20575997,65385,39453,11.088048,10.582866
2025m2,zero,3.7220666,3.9631424,-.27157429,89700,86729,11.404226,11.370543
2025m2,middle,3.9773996,4.1548028,-.15449677,40686,45638,10.613639,10.728496
2025m2,high,4.3425722,4.1516705,.25421011,65483,36345,11.089546,10.500812
2025m3,zero,3.6850681,4.0434933,-.37694174,88919,95256,11.395481,11.464323
2025m3,middle,4.029623,4.3459511,-.25435758,40237,45994,10.602542,10.736266
2025m3,high,4.2873302,4.1788845,.19113471,64594,39426,11.075877,10.582181
2025m4,zero,3.6367848,3.9698076,-.3381972,85079,94963,11.351336,11.461243
2025m4,middle,3.9320738,4.2743478,-.22576983,38286,43993,10.552839,10.691786
2025m4,high,4.2578802,4.1028523,.1636823,61617,36526,11.028693,10.505779
