ym,exposure_group,ln_parados,ln_contratos,parados_contratos,parados,contratos,ln_total_parados,ln_total_contratos
2023m2,zero,6.1620526,4.5472298,1.6672822,817061,171307,13.613469,12.051212
2023m2,middle,6.0063343,4.4903288,1.6852099,306542,101537,12.63311,11.528178
2023m2,high,6.2252474,4.3034,2.0599761,497272,43351,13.116893,10.677085
2023m3,zero,6.1222477,4.7074342,1.4388816,807262,210570,13.601403,12.257573
2023m3,middle,5.9902058,4.6363878,1.520177,302082,118874,12.618454,11.68582
2023m3,high,6.2181435,4.3328052,1.9669068,492994,48671,13.108253,10.792839
2023m4,zero,6.104589,4.5095825,1.6495225,795881,180148,13.587205,12.101534
2023m4,middle,5.974791,4.361588,1.7340742,297398,102237,12.602826,11.535048
2023m4,high,6.2053714,4.2855487,2.0941982,487962,40788,13.097993,10.616143
2023m5,zero,6.0942936,4.690784,1.4629101,786441,214691,13.575273,12.276955
2023m5,middle,5.9494977,4.5382199,1.5144827,294447,128835,12.592854,11.766288
2023m5,high,6.2081909,4.3086724,1.97009,485038,47354,13.091983,10.765407
2023m6,zero,6.0833535,4.6945252,1.4539174,773639,214668,13.558861,12.276848
2023m6,middle,5.938858,4.5503554,1.594581,292443,111973,12.586025,11.626013
2023m6,high,6.2066612,4.324697,1.9872025,480312,47988,13.082191,10.778707
2023m7,zero,6.0797896,4.5885825,1.5478555,764266,207244,13.546671,12.241652
2023m7,middle,6.0075035,4.5367465,1.7058736,292418,97046,12.585939,11.482941
2023m7,high,6.2147222,4.2258573,2.1110151,480805,43192,13.083217,10.67341
2023m8,zero,6.0857124,4.3345728,1.8097764,765638,177085,13.548465,12.084385
2023m8,middle,5.9750586,4.172729,1.9984989,293255,83100,12.588798,11.3278
2023m8,high,6.2220855,3.8005669,2.5168653,483226,32230,13.08824,10.380653
2023m9,zero,6.0829849,4.644299,1.4812752,769490,211806,13.553483,12.263426
2023m9,middle,6.010942,4.6522779,1.5415312,292097,114522,12.584841,11.648522
2023m9,high,6.1847978,4.3439984,2.0068862,479517,46571,13.080535,10.748734
2023m10,zero,6.101676,4.6653619,1.496583,781008,215677,13.56834,12.281537
2023m10,middle,5.9713812,4.6386633,1.5760906,294837,116703,12.594178,11.667388
2023m10,high,6.2191172,4.3631001,2.0110786,488337,51567,13.098761,10.850637
2023m11,zero,6.1006474,4.6095014,1.5205104,778723,206374,13.565411,12.237445
2023m11,middle,5.9641638,4.4069905,1.6452199,293479,125419,12.589561,11.739415
2023m11,high,6.2075739,4.2578712,2.0549643,485173,53900,13.09226,10.894886
2023m12,zero,6.0970936,4.3454676,1.8017054,777701,174314,13.564097,12.068614
2023m12,middle,5.9599075,4.3400731,1.8613334,292997,108325,12.587917,11.592892
2023m12,high,6.2117805,4.0856452,2.2598791,482669,38233,13.087087,10.551455
2024m1,zero,6.1066122,4.6595407,1.523151,789238,193155,13.578823,12.171248
