event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
23,bevent_p23,0.08162735678685876,0.02411718383888533,0.000712784270558986,0.03435767646264351,0.128897037111074,sample1_total_ocup4d,ln_parados
24,bevent_p24,0.07270111060747417,0.02641666505512689,0.005921575915686317,0.02092444709942546,0.12447777411552288,sample1_total_ocup4d,ln_parados
25,bevent_p25,0.0680571034165053,0.028055598926502515,0.01527493810930669,0.01306812952056037,0.12304607731245022,sample1_total_ocup4d,ln_parados
26,bevent_p26,0.07157819604521001,0.028378584225847006,0.011660315858275316,0.01595617096254988,0.12720022112787016,sample1_total_ocup4d,ln_parados
27,bevent_p27,0.06369165423784234,0.02778388771220971,0.021882841685276544,0.009235234321911312,0.11814807415377337,sample1_total_ocup4d,ln_parados
28,bevent_p28,0.06418094381713124,0.028938453391519275,0.02656554490046581,0.007461575169753466,0.12090031246450902,sample1_total_ocup4d,ln_parados
29,bevent_p29,0.07817551288470298,0.029292362431090666,0.007612232993817081,0.020762482519765278,0.13558854324964068,sample1_total_ocup4d,ln_parados
30,bevent_p30,0.07873536981466656,0.03003789320169104,0.008762046406820101,0.01986109913935212,0.13760964048998098,sample1_total_ocup4d,ln_parados
31,bevent_p31,0.08259489630451727,0.03024970095068405,0.006325046160802872,0.023305482441176535,0.14188431016785802,sample1_total_ocup4d,ln_parados
32,bevent_p32,0.09020735116273022,0.031117921213964533,0.0037448930116372736,0.02921622558335974,0.1511984767421007,sample1_total_ocup4d,ln_parados
33,bevent_p33,0.10459559283307732,0.030529032569175274,0.0006123094135308538,0.04475868899749378,0.16443249666866086,sample1_total_ocup4d,ln_parados
34,bevent_p34,0.12846907372172978,0.029540160748540795,1.3678262420491194e-05,0.07057035865458983,0.18636778878886973,sample1_total_ocup4d,ln_parados
35,bevent_p35,0.13088365594561321,0.029828946709195628,1.1449940174435014e-05,0.07241892039558978,0.18934839149563665,sample1_total_ocup4d,ln_parados
36,bevent_p36,0.1321779014536471,0.031201631892304873,2.2728409219796575e-05,0.07102270294472957,0.19333309996256465,sample1_total_ocup4d,ln_parados
37,bevent_p37,0.11890580574206451,0.03355453322446832,0.00039461608098290135,0.053138920622106595,0.18467269086202243,sample1_total_ocup4d,ln_parados
38,bevent_p38,0.119820182106955,0.034127468365381525,0.00044649129269092036,0.052930344110807215,0.18671002010310278,sample1_total_ocup4d,ln_parados
39,bevent_p39,0.103618745798946,0.033257119211464826,0.001835174768209935,0.03843479214447494,0.16880269945341708,sample1_total_ocup4d,ln_parados
40,bevent_p40,0.1108503657177604,0.034133508016771036,0.0011640211023222768,0.04394869000488917,0.1777520414306316,sample1_total_ocup4d,ln_parados
41,bevent_p41,0.12132490321246014,0.03487478426534236,0.000503529424934479,0.05297032605238912,0.18967948037253118,sample1_total_ocup4d,ln_parados
42,bevent_p42,0.13772356338548136,0.03589029935587692,0.00012437023878142384,0.06737857664796261,0.20806855012300013,sample1_total_ocup4d,ln_parados
