term,beta_log_points,se,p_value_normal,ci95_low,ci95_high,effect_pct,event_time,pretrend_wald_chi2,pretrend_df,pretrend_p_value,nobs,clusters,fe_cols,fe_groups
event_m20,0.013653402520967722,0.027437378068604575,0.6187515331561031,-0.04012385849349724,0.06743066353543269,1.3747035873825864,-20,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m19,0.00668865785102872,0.028186286179535728,0.8124226271068671,-0.0485564630608613,0.061933778762918744,0.6711076879483135,-19,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m18,0.02408691443804727,0.028170513928832047,0.39252903913637205,-0.031127292862463542,0.07930112173855808,2.437934737691605,-18,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m17,0.013929904636999866,0.026986495685687242,0.6057283017538149,-0.03896362690694713,0.06682343618094685,1.4027377830152288,-17,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m16,0.009343895181568845,0.02616886788295082,0.7210457668336148,-0.04194708586901476,0.060634876232152454,0.9387685655080968,-16,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m15,0.008589667339357301,0.023624099966035022,0.7161584784466912,-0.037713568594071344,0.054892903272785946,0.862666438676496,-15,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m14,0.00556840352834451,0.020945367992142718,0.7903518860770244,-0.03548451773625522,0.046621324792944244,0.558393590406725,-14,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m13,0.005142735480241013,0.022593910108382912,0.8199447789571002,-0.0391413283321895,0.04942679929267152,0.5155982042470919,-13,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m12,0.006852101664461638,0.023260123716671004,0.7683103270614171,-0.03873774082021353,0.052441944149136804,0.6875631024225726,-12,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m11,0.006148601219459995,0.02320902465486694,0.7910688866071558,-0.03934108710407921,0.0516382895429992,0.6167542669178738,-11,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m10,0.012778982554182704,0.022141400824865827,0.5638359011155922,-0.030618163062554316,0.05617612817091973,1.2860982672151522,-10,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m9,-0.0005423707310225484,0.019712337245855548,0.9780495517995489,-0.03917855173289942,0.038093810270854324,-0.05422236746052134,-9,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m8,0.009140297872894037,0.018564095379122403,0.622461830188136,-0.027245329070185873,0.04552592481597395,0.9182197957952942,-8,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m7,0.005836949943512953,0.01737621057838187,0.736934090071276,-0.028220422790115513,0.03989432267714142,0.5854018128388594,-7,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m6,0.010118418878198022,0.017385490710703583,0.5605642290050066,-0.023957142914780998,0.04419398067117704,1.0169783174139635,-6,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m5,0.0004024544566609764,0.017836118071409647,0.9819980474474532,-0.03455633696330193,0.035361245876623884,0.04025354523211622,-5,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
event_m4,-0.008079778791779842,0.01675156776303644,0.6295717462992527,-0.04091285160733127,0.02475329402377158,-0.8047225113625323,-4,26.784355514954743,19,0.10977716961039019,23734,377,cno4 + cno2_period,"{""cno4"": 377, ""cno2_period"": 3780}"
