panel,period,period_date,exposure_group,ln_parados,ln_contratos,ln_parados_contratos
all,2021-01,2021-01-01,high,7.156475383274553,5.514726622889842,1.6684583081275295
all,2021-01,2021-01-01,middle,6.9708113160239265,5.789295429598896,1.3273444128084346
all,2021-01,2021-01-01,zero,7.005779315272238,5.912614719655491,1.093164595616747
all,2021-02,2021-02-01,high,7.161108221113693,5.5048021779376715,1.7159204825282475
all,2021-02,2021-02-01,middle,6.970007073744663,5.630254328897187,1.3773932446922388
all,2021-02,2021-02-01,zero,7.012055281623017,5.966914912485123,1.0948845916693848
all,2021-03,2021-03-01,high,7.14915262191391,5.694097367809369,1.5233306449557091
all,2021-03,2021-03-01,middle,6.945792663946076,5.82455827995208,1.168389064439786
all,2021-03,2021-03-01,zero,6.990523818410111,6.105946134479446,0.910311502196077
all,2021-04,2021-04-01,high,7.1295997990140645,5.774234326341387,1.494011329567723
all,2021-04,2021-04-01,middle,6.927227814380624,5.841168920762167,1.1834900568265527
all,2021-04,2021-04-01,zero,6.980703236893906,6.044475883629398,0.9618145222603798
all,2021-05,2021-05-01,high,7.0958759522438335,5.7883559680778855,1.4337114297461457
all,2021-05,2021-05-01,middle,6.882279728358484,5.803005060233258,1.1259171474775675
all,2021-05,2021-05-01,zero,6.9493679054287805,6.043829815747297,0.9055380896814837
all,2021-06,2021-06-01,high,7.063592123443359,5.851699531232675,1.2395351164164874
all,2021-06,2021-06-01,middle,6.8386251472859785,6.029097687112193,0.9371851078725456
all,2021-06,2021-06-01,zero,6.905724910193125,6.222254508377677,0.7094893365764091
all,2021-07,2021-07-01,high,7.029960096451261,5.845259704294586,1.2139359441238802
all,2021-07,2021-07-01,middle,6.81768575813714,5.948514217597091,0.9185629806818002
all,2021-07,2021-07-01,zero,6.851229062567752,6.217812458851847,0.6454109992162181
all,2021-08,2021-08-01,high,7.021387292526985,5.522680682296994,1.5632065158132034
all,2021-08,2021-08-01,middle,6.815305788011883,5.687552356014205,1.2067663472057728
all,2021-08,2021-08-01,zero,6.833559082669919,5.934967638368961,0.9118337122422421
all,2021-09,2021-09-01,high,6.966614915859282,5.958653393158586,1.0366400958774955
all,2021-09,2021-09-01,middle,6.732169898949116,6.048187819062481,0.6839820798866357
all,2021-09,2021-09-01,zero,6.804911370318074,6.251586530394337,0.566628327842137
all,2021-10,2021-10-01,high,6.9760004215199585,5.908979615502541,1.0960842453658555
all,2021-10,2021-10-01,middle,6.768072571094051,6.048776290811978,0.7650177341726049
all,2021-10,2021-10-01,zero,6.838117295855769,6.19702704548811,0.6410902503676583
all,2021-11,2021-11-01,high,6.949441605086911,5.973084849372311,1.0044293902155788
all,2021-11,2021-11-01,middle,6.741417566025559,6.095296373728417,0.6767419873524567
all,2021-11,2021-11-01,zero,6.789320717052479,6.295473630192078,0.5080155189722427
all,2021-12,2021-12-01,high,6.918282541044426,5.75812179273139,1.188230233176814
all,2021-12,2021-12-01,middle,6.715295404599714,5.8618983653196,0.8963728541468863
all,2021-12,2021-12-01,zero,6.778447065192212,6.06728458507518,0.7517626843752515
all,2022-01,2022-01-01,high,6.926947170352698,5.783767679243055,1.1701390785706884
all,2022-01,2022-01-01,middle,6.7206075219923544,5.969021541267828,0.8238407624512274
all,2022-01,2022-01-01,zero,6.775395213953997,6.138135212093429,0.6644209123628418
all,2022-02,2022-02-01,high,6.911400941055131,5.842810828057745,1.130443870315161
all,2022-02,2022-02-01,middle,6.696587014346254,5.8769733817440235,0.8196136326022303
all,2022-02,2022-02-01,zero,6.760901943055953,6.095266969280836,0.6920662539123569
all,2022-03,2022-03-01,high,6.901278523981792,5.999880574747176,0.9271183468419194
all,2022-03,2022-03-01,middle,6.689075085204918,6.078895490651702,0.6101795945532161
all,2022-03,2022-03-01,zero,6.759137026769773,6.245393201329459,0.5301964953453612
all,2022-04,2022-04-01,high,6.870510731101767,5.819483574757454,1.1158802370377006
all,2022-04,2022-04-01,middle,6.654535299047405,5.892118841377231,0.8391471047204735
all,2022-04,2022-04-01,zero,6.737318478957586,6.049808483905479,0.7006184524904894
all,2022-05,2022-05-01,high,6.842229298981995,5.932935072899793,0.9940481884022784
all,2022-05,2022-05-01,middle,6.626219417601465,5.906219841955128,0.7199995756463373
all,2022-05,2022-05-01,zero,6.735408365157771,6.117640958896025,0.617741960433812
all,2022-06,2022-06-01,high,6.8254506031923485,5.9655306959105046,0.9089861812252777
all,2022-06,2022-06-01,middle,6.611797435617891,6.039776630255283,0.6164819759025252
all,2022-06,2022-06-01,zero,6.682002338123504,6.221429659579949,0.47400984311545613
all,2022-07,2022-07-01,high,6.853013716163694,5.893586985938454,0.9872236937348223
all,2022-07,2022-07-01,middle,6.640879195192748,6.042157412194719,0.6434174838570986
all,2022-07,2022-07-01,zero,6.677402921634914,6.15363308157219,0.5237698400627245
all,2022-08,2022-08-01,high,6.875590355004214,5.567531258295212,1.3360396101278564
all,2022-08,2022-08-01,middle,6.662303656433476,5.703709797349905,1.0034623378558731
all,2022-08,2022-08-01,zero,6.691861109312827,5.905379034317196,0.8215775663692999
all,2022-09,2022-09-01,high,6.842519129155328,5.944090120667729,0.9247013843803716
all,2022-09,2022-09-01,middle,6.649114005581358,6.197732634081723,0.5689048979058559
all,2022-09,2022-09-01,zero,6.687839846463678,6.125352891908169,0.5900207139871365
all,2022-10,2022-10-01,high,6.8661269539310705,5.928822175379653,0.9979959025197198
all,2022-10,2022-10-01,middle,6.639330233854382,6.110571500895662,0.6854440354884193
all,2022-10,2022-10-01,zero,6.689641524986957,6.069080165285356,0.6480975522269783
all,2022-11,2022-11-01,high,6.858316695079809,5.783643129119399,1.102255523621223
all,2022-11,2022-11-01,middle,6.634608802592708,5.8413928436491,0.7932159589436085
all,2022-11,2022-11-01,zero,6.685641709225201,5.957832995890242,0.7424512110955582
all,2022-12,2022-12-01,high,6.850411969930604,5.552180642166673,1.3631500197644955
all,2022-12,2022-12-01,middle,6.623716324965249,5.582987385452172,1.0407289395130774
all,2022-12,2022-12-01,zero,6.6743903833723754,5.675199529998247,1.0144336194031602
all,2023-01,2023-01-01,high,6.873183043887966,5.698101076608233,1.203585115360234
all,2023-01,2023-01-01,middle,6.643310181070137,5.795919441149377,0.892106045504648
all,2023-01,2023-01-01,zero,6.69838900357242,5.908941383169361,0.8149496596494336
all,2023-02,2023-02-01,high,6.875794859625239,5.803536033238321,1.1736087649567837
all,2023-02,2023-02-01,middle,6.640512011994833,5.711851197129587,0.9286608148652469
all,2023-02,2023-02-01,zero,6.722119012892936,5.848908903365826,0.8977240931223731
all,2023-03,2023-03-01,high,6.867140234921115,5.884769054358601,1.0430642917454604
all,2023-03,2023-03-01,middle,6.617639157333241,5.93923304807262,0.7068464052604193
all,2023-03,2023-03-01,zero,6.675228166672775,5.967992595476822,0.7072355711959522
all,2023-04,2023-04-01,high,6.843850101342971,5.676184803411105,1.2268202216933686
all,2023-04,2023-04-01,middle,6.5815134049744834,5.719424619343041,0.906305730117784
all,2023-04,2023-04-01,zero,6.6486639086681745,5.841603937384713,0.8466019729820968
all,2023-05,2023-05-01,high,6.831725614758801,5.8296393710663255,1.0652846690632116
all,2023-05,2023-05-01,middle,6.554491846236309,5.827277007777345,0.7272148384589647
