cno4,occupation_title,exposure_nearest,exposure_weighted,exposure_rf,exposure_group,mean_parados,mean_contratos,pre_mean_parados,cno2,treat,control,nearest_anthropic_title,nearest_anthropic_observed_exposure,nearest_cosine_similarity,match_review_flag,weighted_match_rows
2411,Físicos y astrónomos,0.3849,0.3302709592992149,0.0747895404761904,high,525.5238095238095,149.61904761904762,540.0,24,True,False,Astronomers,0.3849,0.7154090491829974,ok,2.0
2484,Diseñadores gráficos y multimedia,0.3672,0.3626693515268673,0.183471748968254,high,9953.0,569.2539682539683,10645.42857142857,24,True,False,Graphic Designers,0.3672,0.7450753298151318,ok,2.0
2413,Químicos,0.2614,0.1549329008506393,0.1597572159523808,high,2061.9523809523807,250.968253968254,2357.095238095238,24,True,False,Chemists,0.2614,0.760451274870571,ok,5.0
2416,Estadísticos,0.2107,0.3144818981522839,0.1497432067460317,high,203.7142857142857,46.04761904761905,227.7142857142857,24,True,False,Statisticians,0.2107,0.8009470126097329,ok,2.0
2427,Enólogos,0.2038,0.2038,0.1129802845238095,high,80.77777777777777,14.793650793650794,84.19047619047619,24,True,False,Food Science Technicians,0.2038,0.4888730903989041,low_similarity,1.0
2426,Profesionales de la protección ambiental,0.1444,0.0686506991440145,0.0725418311904762,high,126.58730158730158,96.31746031746032,151.8095238095238,24,True,False,"Environmental Science and Protection Technicians, Including Health",0.1444,0.7441441032296388,ok,3.0
2442,Ingenieros electrónicos,0.0999,0.1202184990266389,0.0959337107936507,middle,495.04761904761904,195.04761904761904,512.5238095238095,24,False,False,,,,,
2453,Urbanistas e ingenieros de tráfico,0.0959,0.0498979943862411,0.0776654447474747,middle,64.7936507936508,3.920634920634921,85.57142857142857,24,False,False,,,,,
2433,Ingenieros mecánicos,0.0813,0.205854383814282,0.0777722101587301,middle,1083.7142857142858,263.1269841269841,1299.857142857143,24,False,False,,,,,
2463,Ingenieros técnicos mecánicos,0.0813,0.0358,0.0666887119047618,middle,881.1587301587301,101.22222222222224,1133.428571428571,24,False,False,,,,,
2454,Ingenieros geógrafos y cartógrafos,0.08,0.0400224415086789,0.0568798452380952,middle,37.82539682539682,13.761904761904765,44.0,24,False,False,,,,,
2451,Arquitectos (excepto arquitectos paisajistas y urbanistas),0.0784,0.0420138311513927,0.0812990707142857,middle,2514.5873015873017,457.3809523809524,3153.714285714286,24,False,False,,,,,
2481,Arquitectos técnicos y técnicos urbanistas,0.0784,0.0784,0.0935190515873016,middle,2284.0793650793653,462.5396825396825,2972.5238095238096,24,False,False,,,,,
2434,Ingenieros aeronáuticos,0.0753,0.0753,0.058703169126984,middle,136.28571428571428,121.57142857142856,186.0,24,False,False,,,,,
2439,Ingenieros no clasificados bajo otros epígrafes,0.0659,0.0975944927671193,0.056039123095238,middle,703.984126984127,1773.3650793650793,650.6190476190476,24,False,False,,,,,
2421,"Biólogos, botánicos, zoólogos y afines",0.0606,0.0776562761991508,0.101789890079365,middle,5465.444444444444,746.8730158730159,5995.238095238095,24,False,False,,,,,
2471,Ingenieros técnicos en electricidad,0.059,0.059,0.0608754171428571,middle,532.6825396825396,108.73015873015872,647.7619047619048,24,False,False,,,,,
2441,Ingenieros en electricidad,0.059,0.059,0.0798220593650794,middle,444.3809523809524,148.66666666666666,509.4761904761905,24,False,False,,,,,
2415,Matemáticos y actuarios,0.0539,0.3338911273082483,0.1611862985714284,middle,290.07936507936506,43.53968253968254,280.85714285714283,24,False,False,,,,,
