sample,subgroup,event_time,estimate,std_error,ci_low,ci_high,overall_att,overall_se
province_cno4,all,-20,0.0017455005276606548,2.3277256213727324e-4,6.63001048384633e-4,0.0028280000069366767,0.01048232999048617,0.0014732587343900504
province_cno4,all,-19,8.216795726857267e-4,2.552758912361032e-4,-3.65470737460536e-4,0.0020088298828319895,0.01048232999048617,0.0014732587343900504
province_cno4,all,-18,0.001122922414941395,4.1136767876419144e-4,-7.901265026995625e-4,0.0030359713325823524,0.01048232999048617,0.0014732587343900504
province_cno4,all,-17,0.0022374039767759633,4.42820502550846e-4,1.7808496158486968e-4,0.0042967229919670565,0.01048232999048617,0.0014732587343900504
province_cno4,all,-16,9.430980161223432e-4,2.84783693222855e-4,-3.8127714557837993e-4,0.0022674731778230665,0.01048232999048617,0.0014732587343900504
province_cno4,all,-15,0.003028053961279643,6.025718647834161e-4,2.2581763297150953e-4,0.005830290289587776,0.01048232999048617,0.0014732587343900504
province_cno4,all,-14,1.1623642158106775e-4,5.246763353816429e-4,-0.0023237498664253984,0.002556222709587534,0.01048232999048617,0.0014732587343900504
province_cno4,all,-13,9.521574238601496e-4,4.1529108218434476e-4,-9.791371242808542e-4,0.0028834519720011536,0.01048232999048617,0.0014732587343900504
province_cno4,all,-12,-0.0036615193038516064,6.636175792792484e-4,-0.006747646282960759,-5.753923247424535e-4,0.01048232999048617,0.0014732587343900504
province_cno4,all,-11,-8.832257835288857e-4,6.594566534343807e-4,-0.003950002543613001,0.0021835509765552293,0.01048232999048617,0.0014732587343900504
province_cno4,all,-10,-0.0012608099509262348,5.261195583145721e-4,-0.0037075078893911164,0.0011858879875386468,0.01048232999048617,0.0014732587343900504
province_cno4,all,-9,0.004154928978463017,6.803737017666247e-4,9.908783226940123e-4,0.007318979634232021,0.01048232999048617,0.0014732587343900504
province_cno4,all,-8,0.001684886840326645,4.4485783729701823e-4,-3.839067185202501e-4,0.0037536803991735403,0.01048232999048617,0.0014732587343900504
province_cno4,all,-7,-6.391314671014683e-4,5.150785096130695e-4,-0.003034483450698227,0.0017562205164952903,0.01048232999048617,0.0014732587343900504
province_cno4,all,-6,0.0033615211365190735,4.985372400549106e-4,0.0010430936646382261,0.005679948608399921,0.01048232999048617,0.0014732587343900504
province_cno4,all,-5,3.8426498935739185e-4,4.4625916214473694e-4,-0.0016910453745803777,0.0024595753532951617,0.01048232999048617,0.0014732587343900504
province_cno4,all,-4,0.002754592958927946,8.574122446492688e-4,-0.0012327683513383416,0.006741954269194233,0.01048232999048617,0.0014732587343900504
province_cno4,all,-3,0.0014841161165037135,7.981017955590649e-4,-0.0022274243252449607,0.005195656558252388,0.01048232999048617,0.0014732587343900504
province_cno4,all,-2,6.324202568618347e-4,4.297024636847987e-4,-0.0013658938438701205,0.0026307343575937897,0.01048232999048617,0.0014732587343900504
province_cno4,all,-1,0.0030487853752071683,7.174084963985194e-4,-2.8749411000814334e-4,0.00638506486042248,0.01048232999048617,0.0014732587343900504
province_cno4,all,0,4.4278968921930866e-5,6.500398015408979e-4,-0.0029787050985118236,0.0030672630363556856,0.01048232999048617,0.0014732587343900504
province_cno4,all,1,-2.9440326013059544e-4,3.749982186199069e-4,-0.0020383174597177972,0.0014495109394566062,0.01048232999048617,0.0014732587343900504
province_cno4,all,2,5.379022932004492e-4,8.477819520238044e-4,-0.003404673726838234,0.004480478313239132,0.01048232999048617,0.0014732587343900504
province_cno4,all,3,0.0018222876546323,5.997422346538102e-4,-9.667895920653653e-4,0.004611364901329965,0.01048232999048617,0.0014732587343900504
province_cno4,all,4,0.0018469595907740896,7.433784668838194e-4,-0.001610092202264049,0.0053040113838122285,0.01048232999048617,0.0014732587343900504
province_cno4,all,5,0.00363604335509221,9.327204966170314e-4,-7.015359653715805e-4,0.007973622675556,0.01048232999048617,0.0014732587343900504
province_cno4,all,6,0.0025124397478846084,7.053969558092207e-4,-7.679805487999232e-4,0.00579286004456914,0.01048232999048617,0.0014732587343900504
province_cno4,all,7,0.005931424523672821,0.001190772571554358,3.937843619273296e-4,0.011469064685418312,0.01048232999048617,0.0014732587343900504
province_cno4,all,8,0.007641649717583105,9.495531838664137e-4,0.0032257906590996473,0.012057508776066563,0.01048232999048617,0.0014732587343900504
province_cno4,all,9,0.006473111474930631,0.0010636112026747352,0.001526830167219836,0.011419392782641428,0.01048232999048617,0.0014732587343900504
province_cno4,all,10,0.005136567808757757,0.0014689508915716068,-0.001694729491095644,0.011967865108611158,0.01048232999048617,0.0014732587343900504
province_cno4,all,11,0.007367812170770516,9.418061783811828e-4,0.0029879802510817304,0.011747644090459301,0.01048232999048617,0.0014732587343900504
province_cno4,all,12,0.00731709008378687,0.0011575803562002096,0.0019338089904254521,0.012700371177148288,0.01048232999048617,0.0014732587343900504
province_cno4,all,13,0.005269009678333524,0.001361459670306175,-0.0010624040013105795,0.011600423357977627,0.01048232999048617,0.0014732587343900504
province_cno4,all,14,0.005701369830179546,9.565860629824767e-4,0.0012528046489853721,0.01014993501137372,0.01048232999048617,0.0014732587343900504
province_cno4,all,15,0.004016900049833197,0.0012100188869804585,-0.0016102443311185478,0.009644044430784942,0.01048232999048617,0.0014732587343900504
province_cno4,all,16,0.00358057405486749,0.0010451147630396924,-0.0012796903009759876,0.008440838410710968,0.01048232999048617,0.0014732587343900504
province_cno4,all,17,0.0030791122826526033,0.0015266908552451228,-0.0040207024061752646,0.01017892697148047,0.01048232999048617,0.0014732587343900504
province_cno4,all,18,0.004071473867847077,9.86076128903288e-4,-5.142336840371084e-4,0.008657181419731264,0.01048232999048617,0.0014732587343900504
province_cno4,all,19,0.008502856292005973,0.0019411748720176121,-5.244997195824955e-4,0.01753021230359444,0.01048232999048617,0.0014732587343900504
province_cno4,all,20,0.008608851423822119,0.001309404382668869,0.002519518774878343,0.014698184072765894,0.01048232999048617,0.0014732587343900504
province_cno4,all,21,0.009427754920909066,0.001117444140135654,0.004231125693175905,0.014624384148642228,0.01048232999048617,0.0014732587343900504
province_cno4,all,22,0.01036356077780721,0.0017802047110794328,0.002084790053911696,0.018642331501702726,0.01048232999048617,0.0014732587343900504
province_cno4,all,23,0.008924999085570463,0.0012355108639952417,0.0031793052862901724,0.014670692884850754,0.01048232999048617,0.0014732587343900504
province_cno4,all,24,0.010344542820173493,0.001321366923711463,0.004199578853128792,0.016489506787218194,0.01048232999048617,0.0014732587343900504
province_cno4,all,25,0.011522711253844952,0.0015244377673666212,0.0044333744599753516,0.018612048047714554,0.01048232999048617,0.0014732587343900504
province_cno4,all,26,0.01138227931676335,9.707918682754864e-4,0.006867650606899029,0.015896908026627674,0.01048232999048617,0.0014732587343900504
province_cno4,all,27,0.01400267362535894,0.0017958820378753417,0.005650996120968381,0.022354351129749497,0.01048232999048617,0.0014732587343900504
province_cno4,all,28,0.015142984813612276,0.0013440377644339068,0.00889259100959941,0.021393378617625143,0.01048232999048617,0.0014732587343900504
province_cno4,all,29,0.014167041698501314,0.0015475139296208125,0.006970390136110501,0.021363693260892127,0.01048232999048617,0.0014732587343900504
province_cno4,all,30,0.015569860344630105,0.002028702448154354,0.006135460845096356,0.025004259844163854,0.01048232999048617,0.0014732587343900504
province_cno4,all,31,0.018507882089770156,7.401758227169074e-4,0.015065724065186326,0.02195004011435399,0.01048232999048617,0.0014732587343900504
province_cno4,all,32,0.01961340360135474,0.0011304432102590507,0.014356322718536253,0.024870484484173224,0.01048232999048617,0.0014732587343900504
province_cno4,all,33,0.020670991483251355,0.0020206038267155677,0.011274254298424482,0.030067728668078227,0.01048232999048617,0.0014732587343900504
province_cno4,all,34,0.023304450066296733,0.002257435165852096,0.012806338222284962,0.033802561910308504,0.01048232999048617,0.0014732587343900504
province_cno4,all,35,0.020971684343970006,0.001394328400099886,0.014487415952587266,0.027455952735352746,0.01048232999048617,0.0014732587343900504
province_cno4,all,36,0.02237154151522556,0.001384934154437465,0.01593096068712085,0.028812122343330266,0.01048232999048617,0.0014732587343900504
province_cno4,all,37,0.02153251655193649,8.596034523147213e-4,0.017534965118164846,0.025530067985708137,0.01048232999048617,0.0014732587343900504
province_cno4,all,38,0.02102750948712358,0.0017139338155657397,0.013056928909120013,0.02899809006512715,0.01048232999048617,0.0014732587343900504
province_cno4,all,39,0.023283932870670862,0.0018482012763511146,0.014688946842775105,0.031878918898566616,0.01048232999048617,0.0014732587343900504
province_cno4,all,40,0.024839897333744157,0.0014915271520636755,0.01790361003849666,0.031776184628991656,0.01048232999048617,0.0014732587343900504
