cno2,occupations,treated_occupations,zero_exposure_occupations,mean_exposure,max_exposure,total_mean_parados,mean_cosine,low_similarity_matches
24,42,6,14,0.0665952380952381,0.3849,41351.619047619046,0.709149976684496,1
27,8,8,0,0.3343125,0.5195,10432.968253968253,0.7173830966437595,0
38,8,5,2,0.2921875,0.7451,24640.5873015873,0.7314144929739703,0
59,12,3,8,0.03560833333333333,0.1234,26184.855321363517,0.6794025438946792,0
