spec,outcome,beta_log_points,se,p_value,ci95_low,ci95_high,effect_pct,nobs,clusters,periods,notes
binary_2022-09_ln_parados,ln_parados,0.0890948456630707,0.02067125193686722,1.6319206657982347e-05,0.04857919186681095,0.12961049945933045,9.318433520263735,23734,377,63,Post starts after 2022-09
binary_2022-09_ln_contratos_p1,ln_contratos_p1,0.12340599372635651,0.030140581400388687,4.233601888792096e-05,0.06433045418159469,0.18248153327111832,13.134364614259454,23751,377,63,Post starts after 2022-09
binary_2022-11_ln_parados,ln_parados,0.09118841194843622,0.020931882716848947,1.3219719231866828e-05,0.05016192182341228,0.13221490207346015,9.547538646754017,23734,377,63,Post starts after 2022-11
binary_2022-11_ln_contratos_p1,ln_contratos_p1,0.10733599597283935,0.02933305024293456,0.00025298705624081223,0.04984321749668762,0.16482877444899108,11.330825873530891,23751,377,63,Post starts after 2022-11
binary_2022-12_ln_parados,ln_parados,0.09237041265885082,0.02113970458389804,1.2451856895136551e-05,0.05093659167441066,0.13380423364329097,9.677100471258449,23734,377,63,Post starts after 2022-12
binary_2022-12_ln_contratos_p1,ln_contratos_p1,0.10054134014331914,0.02922298610048024,0.0005806656610415791,0.043264287386377866,0.15781839290026042,10.576935342275483,23751,377,63,Post starts after 2022-12
binary_2023-01_ln_parados,ln_parados,0.09379133470529762,0.021318867006177637,1.0852451607536376e-05,0.05200635537318945,0.13557631403740578,9.833053853868812,23734,377,63,Post starts after 2023-01
binary_2023-01_ln_contratos_p1,ln_contratos_p1,0.09489745017542627,0.029368177615919925,0.0012322767927081368,0.037335822048223215,0.1524590783026293,9.954609108548397,23751,377,63,Post starts after 2023-01
continuous_sep_ln_parados,ln_parados,0.026542211307796132,0.006574412658629879,5.4093213487277876e-05,0.013656362496881569,0.039428060118710695,2.689759303720951,31605,502,63,Continuous exposure per 10pp; all CNO4 occupations
continuous_sep_trends_ln_parados,ln_parados,0.0001429742212030856,0.0035681504999678197,0.9680376697579274,-0.006850600758733841,0.0071365492011400125,0.014298444250426812,31605,502,63,Continuous exposure per 10pp with CNO4-specific linear trends
continuous_sep_ln_contratos_p1,ln_contratos_p1,0.03241499029542852,0.00918113475562907,0.0004146052895685061,0.014419966174395542,0.05041001441646149,3.2946078970485404,31605,502,63,Continuous exposure per 10pp; all CNO4 occupations
continuous_sep_trends_ln_contratos_p1,ln_contratos_p1,0.02964115726714254,0.008097438322550266,0.00025166480024237103,0.013770178154944017,0.04551213637934106,3.0084829169372274,31605,502,63,Continuous exposure per 10pp with CNO4-specific linear trends
