cno2,event_time,estimate,se,ci95_low,ci95_high
38,-20,-0.08799073254426623,0.09330709266122159,-0.27087263416026053,0.09489116907172807
38,-19,-0.08679921270077602,0.08770538103359383,-0.25870175952661995,0.08510333412506789
38,-18,-0.07062428335537035,0.07655620164182704,-0.22067443857335134,0.07942587186261063
38,-17,-0.06437577760919055,0.06941965199349105,-0.20043829551643302,0.07168674029805192
38,-16,-0.054954526963198476,0.06111425975527791,-0.17473847608354318,0.06482942215714621
38,-15,-0.05205097909572258,0.05346304393529759,-0.15683854520890586,0.0527365870174607
38,-14,-0.06628481619084906,0.06722078476630017,-0.19803755433279738,0.06546792195109927
38,-13,-0.06001341110835913,0.058444906721110246,-0.1745654282817352,0.054538606065016954
38,-12,-0.0330180599552505,0.04320972964563781,-0.1177091300607006,0.0516730101501996
38,-11,-0.033270618549004725,0.025246601795759573,-0.08275395806869348,0.01621272097068404
38,-10,-0.023163727328347632,0.018544788844687504,-0.05951151346393514,0.013184058807239874
38,-9,-0.047291379241696525,0.02723461989557073,-0.10067123423701516,0.006088475753622105
38,-8,-0.06253954102608261,0.03273947284803053,-0.12670890780822247,0.0016298257560572321
38,-7,-0.062677640909635,0.02021058819733738,-0.10229039377641627,-0.023064888042853733
38,-6,-0.044269925017849696,0.02380895570300676,-0.09093547819574294,0.0023956281600435517
38,-5,-0.034315913705274495,0.02103811245416647,-0.07555061411544078,0.006918786704891787
38,-4,-0.017342831112207118,0.027656147270375644,-0.07154887976214339,0.03686321753772914
38,-3,0.013758477875569908,0.026920752505887227,-0.03900619703596906,0.06652315278710888
38,-2,0.007429623341072554,0.0117157578111314,-0.015533261968744992,0.030392508650890097
38,-1,0.0,,,
38,0,0.0060866292752552965,0.01891612399053208,-0.030988973746187577,0.04316223229669817
38,1,-0.004062185251061278,0.02411574187147356,-0.05132903931914946,0.0432046688170269
38,2,0.01791578279185455,0.02816594878955777,-0.03728947683567868,0.07312104241938777
38,3,0.013310406779019698,0.02463332535448695,-0.03497091091577472,0.06159172447381412
38,4,0.016353633656699364,0.01783854754915145,-0.01860991953963748,0.05131718685303621
38,5,0.0373401956051084,0.0329230974743434,-0.027189075444604666,0.10186946665482147
38,6,0.05152941052432378,0.02334341102520295,0.005776324914925995,0.09728249613372156
38,7,0.045255418036442445,0.017506604186360276,0.010942473831176303,0.07956836224170859
38,8,0.090417870435011,0.023896487857085542,0.04358075423512334,0.13725498663489866
38,9,0.10033234020925959,0.03773920189612455,0.026363504492855475,0.1743011759256637
38,10,0.0942288821296869,0.0588055285178417,-0.02102995376528284,0.20948771802465666
38,11,0.12249651502404311,0.06559332356650714,-0.006066399166310868,0.2510594292143971
38,12,0.1646488304950323,0.07829328451863798,0.011193992838501837,0.31810366815156277
38,13,0.16403671496910663,0.07316348445040531,0.020636285446312214,0.30743714449190107
