event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome
-20,bevent_m20,-0.029438835814313696,0.020149820075966746,0.14401614034208876,-0.06893248316320852,0.010054811534581126,sample3_gender_ocup4d,ln_parados
-19,bevent_m19,-0.03258713535540836,0.020407744141754648,0.1103097550034029,-0.07258631387324746,0.0074120431624307495,sample3_gender_ocup4d,ln_parados
-18,bevent_m18,-0.02206229229228096,0.01927024122201865,0.25225503178186126,-0.059831965087437516,0.015707380502875595,sample3_gender_ocup4d,ln_parados
-17,bevent_m17,-0.035917060049588,0.018700780751007916,0.054779857716031,-0.07257059032156352,0.0007364702223875141,sample3_gender_ocup4d,ln_parados
-16,bevent_m16,-0.03803850537235273,0.018073338966072258,0.03531960481074181,-0.07346224974585436,-0.0026147609988511067,sample3_gender_ocup4d,ln_parados
-15,bevent_m15,-0.02275802257870549,0.017010041648681015,0.1809235199714152,-0.05609770421012028,0.010581659052709302,sample3_gender_ocup4d,ln_parados
-14,bevent_m14,0.0018625579091848532,0.014261919843767392,0.8960944509080377,-0.026090804984599234,0.02981592080296894,sample3_gender_ocup4d,ln_parados
-13,bevent_m13,0.0052660960365303044,0.014185679258647195,0.7104690482303315,-0.022537835310418197,0.033070027383478806,sample3_gender_ocup4d,ln_parados
-12,bevent_m12,-0.008789129337591767,0.014712939750920685,0.5502576329298128,-0.03762649124939631,0.020048232574212774,sample3_gender_ocup4d,ln_parados
-11,bevent_m11,-0.017729998969520627,0.01461508934542267,0.22508023601503924,-0.04637557408654906,0.010915576147507804,sample3_gender_ocup4d,ln_parados
-10,bevent_m10,-0.023477518647099932,0.014803911850523006,0.1127620748635787,-0.05249318587412502,0.00553814857992516,sample3_gender_ocup4d,ln_parados
-9,bevent_m9,-0.03553383070566768,0.01363004177559737,0.009133325831095052,-0.06224871258583853,-0.008818948825496834,sample3_gender_ocup4d,ln_parados
-8,bevent_m8,-0.027321833336435286,0.013921542516157038,0.04969756587189633,-0.054608056668103075,-3.561000476749385e-05,sample3_gender_ocup4d,ln_parados
-7,bevent_m7,-0.03356965034287737,0.013958578266016262,0.016174781547156458,-0.060928463744269246,-0.006210836941485498,sample3_gender_ocup4d,ln_parados
-6,bevent_m6,-0.03242531489343553,0.013600530653691364,0.01711995807327482,-0.059082354974670605,-0.0057682748122004565,sample3_gender_ocup4d,ln_parados
