event_time,term,estimate,se,p_value,ci95_low,ci95_high,sample,outcome,note
5,cevent_p5,-0.004650968340149778,0.003129487836748574,0.13723269013275452,-0.010784764500176982,0.0014828278198774263,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
6,cevent_p6,-0.004265741775289154,0.0033661597442589844,0.20506847822444163,-0.010863414874036763,0.002331931323458455,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
7,cevent_p7,-0.00512864973365635,0.003613776539654825,0.15584248480040275,-0.012211651751379806,0.001954352284067107,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
8,cevent_p8,-0.0034974015077138777,0.003709259689341764,0.34574025419407906,-0.010767550498823737,0.0037727474833959803,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
9,cevent_p9,0.0002613653399647127,0.0033966411014175134,0.9386647715929171,-0.006396051218813613,0.006918781898743039,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
10,cevent_p10,0.0067015401173867095,0.0027292034514298097,0.01406914717391028,0.0013523013525842823,0.012050778882189136,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
11,cevent_p11,0.009704694312140534,0.0028672645367462087,0.0007126839672535468,0.004084855820117965,0.015324532804163103,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
12,cevent_p12,0.00712492981308363,0.003292410627715485,0.030460778100651398,0.0006718049827612801,0.01357805464340598,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
13,cevent_p13,0.005176510362661112,0.0037553501842657617,0.16806867580214568,-0.0021839759984997814,0.012536996723822004,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
14,cevent_p14,0.0039759234010623935,0.004161400977774475,0.33936076692069683,-0.004180422515375578,0.012132269317500364,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
15,cevent_p15,0.0017939140685134653,0.004155151325479279,0.6659358087208527,-0.006350182529425922,0.009938010666452852,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
16,cevent_p16,-0.0004358297466756833,0.004752756813263425,0.9269360719223416,-0.009751233100671997,0.00887957360732063,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
17,cevent_p17,-0.0030334964502433085,0.005281618385540276,0.5657311175687996,-0.013385468485902248,0.007318475585415632,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
18,cevent_p18,-0.0040133564919484785,0.005574021178081629,0.471518230645271,-0.014938438000988472,0.006911725017091514,sample2_province_ocup4d,ln_parados_p1,Province-CNO4 panel; log(+1) because province cells often contain zeros.
