exposure_group,occupations,mean_exposure,median_exposure,mean_pre_parados,mean_parados,total_mean_parados
high,124,0.2890298387096774,0.2763,8136.205918020859,7147.686866580151,886313.1714559387
middle,125,0.0512872,0.0437,5360.7000761904765,4538.846284169793,567355.7855212241
zero,253,0.0,0.0,6481.847138102173,5549.935125308682,1404133.5867030965
